Campus,Long,Lat
umich,42.278,-83.7382
penn,39.9522,-75.1932
harvard,42.377,-71.1167
cal,37.8719,-122.2585
umass,42.3912,-72.5267
vt,37.2284,-80.4234
unc,35.9101,-79.0486
uw,47.6553,-122.3035
ut,30.2849,-97.7341
usc,34.0224,-118.2851
ucla,34.0689,-118.4452
ucsd,32.8770,-117.2409
ill,40.102,-88.2272
purdue,40.4237,-86.9212
princeton,40.344,-74.6514
mit,42.3601,-71.0942
harveymudd,34.1061,-117.7093
stanford,37.4272,-122.1702
carnegie,40.4425,-79.9426
columbia,40.8090,-73.9612
cornell,42.4475,-76.4649
gt,33.7756,-84.3963
rice,29.7174,-95.4018
rensselaer,42.7302,-73.6788
brown,41.8268,-71.4025
caltech,34.1377,-118.1253
cp,35.305,-120.6625
maryland,38.9869,-76.9426
waterloo,43.4723,-80.5449
wisconsin,43.0739,-89.4110